row_type,timestamp,green,red,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp0,temp1,temp2,hr,bp_sys,bp_dia,spo2,resp_rate,metrics_source,gesture_event,gesture_gyro_mag,gesture_accel_delta,voice_session_id,voice_trigger,voice_transcript,voice_confidence,voice_started_at,voice_ended_at,voice_duration_sec,audio_file,audio_mime_type,rms_mean,rms_std,rms_max,zcr_mean,silence_ratio,pause_count,total_pause_sec,longest_pause_sec,pitch_mean_hz,pitch_std_hz,pitch_min_hz,pitch_max_hz,word_count,speech_rate_wpm,negative_word_count,positive_word_count,uncertainty_word_count,cognitive_word_count,first_person_count,sentiment_score,linguistic_stress_score,linguistic_cognitive_load_score,emotional_load_score,stress_score,cognitive_load_score,voice_emotional_load_score,emotion_label,voice_state_label
ring,1779931719.2189114,11505739,8442526,8521784,91,1006,85,18,-20,12,2766,2766,2786,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.2189114,11506208,8441707,8521393,105,986,54,16,-27,18,2766,2766,2786,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.2189114,11506788,8441662,8521365,114,976,64,14,-27,17,2766,2766,2786,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.2189114,11507275,8441563,8521714,116,977,54,14,-27,17,2766,2766,2786,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.2189114,11507632,8442227,8522221,105,991,52,6,-30,6,2766,2766,2786,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.430762,11507573,8442651,8521828,88,998,67,5,-28,7,2766,2766,2786,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.430762,11507530,8441805,8521599,85,1000,58,9,-27,13,2766,2766,2786,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.430762,11507421,8441637,8521498,83,985,75,9,-27,13,2766,2766,2786,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.430762,11507855,8441542,8522114,103,995,54,9,-29,19,2766,2766,2786,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.430762,11508051,8442239,8522315,57,973,67,9,-29,19,2766,2766,2786,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.620953,11507812,8442695,8521675,89,990,62,14,-29,16,2766,2766,2786,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.620953,11508001,8441748,8521600,92,974,49,14,-29,16,2766,2766,2786,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.620953,11508084,8441717,8521533,104,1000,56,9,-25,12,2766,2766,2786,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.620953,11508213,8441590,8522298,88,997,66,9,-25,12,2766,2766,2786,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.620953,11507855,8442297,8522329,98,986,55,10,-25,17,2766,2766,2786,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.8110838,11507880,8442713,8521651,111,987,43,10,-25,17,2766,2766,2786,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.8110838,11507863,8441712,8521587,73,986,91,3,-27,10,2766,2766,2786,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779931719.8110838,11508084,8441688,8521444,69,1008,80,3,-27,10,2766,2766,2786,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
