row_type,timestamp,green,red,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp0,temp1,temp2,hr,bp_sys,bp_dia,spo2,resp_rate,metrics_source,gesture_event,gesture_gyro_mag,gesture_accel_delta,voice_session_id,voice_trigger,voice_transcript,voice_confidence,voice_started_at,voice_ended_at,voice_duration_sec,audio_file,audio_mime_type,rms_mean,rms_std,rms_max,zcr_mean,silence_ratio,pause_count,total_pause_sec,longest_pause_sec,pitch_mean_hz,pitch_std_hz,pitch_min_hz,pitch_max_hz,word_count,speech_rate_wpm,negative_word_count,positive_word_count,uncertainty_word_count,cognitive_word_count,first_person_count,sentiment_score,linguistic_stress_score,linguistic_cognitive_load_score,emotional_load_score,stress_score,cognitive_load_score,voice_emotional_load_score,emotion_label,voice_state_label
ring,1779932477.8946183,11401871,9887770,9752702,20,718,725,9,-26,15,2839,2853,2846,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932477.8946183,11402776,9890234,9757603,26,731,718,10,-27,16,2839,2853,2846,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932477.8946183,11403458,9890575,9757498,26,712,710,10,-26,15,2839,2853,2846,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932477.8946183,11403730,9891424,9759815,31,728,716,10,-26,15,2839,2853,2846,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932477.8946183,11403381,9883899,9752274,13,715,713,9,-25,15,2839,2853,2846,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.0844128,11403440,9888048,9753317,33,727,717,9,-26,14,2839,2853,2846,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.0844128,11404558,9905131,9767405,39,724,719,10,-26,16,2839,2853,2846,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.0844128,11409575,9997021,9838668,67,703,707,10,-26,16,2839,2853,2846,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.0844128,11425238,10222241,10026208,79,702,729,14,-31,43,2839,2853,2846,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.0844128,11453067,10520400,10270482,78,655,731,14,-31,43,2839,2853,2846,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.2986462,11519252,10863680,10629881,158,598,710,11,-29,29,2839,2853,2846,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.2986462,11755467,9934832,10259365,187,667,708,11,-29,29,2839,2853,2846,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.2986462,11778005,9073524,9347294,84,535,755,-32,-7,103,2839,2853,2846,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.2986462,11741764,9387413,9894222,157,648,741,-32,-7,103,2839,2853,2846,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.2986462,11779524,8945449,9329495,270,604,740,-9,2,78,2839,2853,2846,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.488298,11792746,8965959,9358432,206,651,700,-9,2,78,2839,2853,2846,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.488298,11723140,8904599,9307508,85,829,832,-45,-36,78,2839,2853,2846,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.488298,11702795,8872157,9301792,200,835,874,-45,-36,78,2839,2853,2846,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.488298,11718859,8875536,9312564,203,619,748,48,-35,18,2839,2853,2846,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.488298,11693656,8870074,9306379,202,667,769,48,-35,18,2839,2853,2846,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.7029467,11755500,8919187,9384907,222,679,734,-1,35,19,2839,2853,2846,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.7029467,11781879,8983281,9464877,188,655,766,-1,35,19,2839,2853,2846,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.7029467,11767042,8987746,9460383,219,704,897,-38,-3,62,2839,2853,2846,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.7029467,11773945,8972816,9437914,154,546,749,-38,-3,62,2839,2853,2846,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.7029467,11758093,8986908,9462765,242,594,764,-14,-65,16,2839,2853,2846,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.8927417,11736354,8962040,9435108,115,557,848,-14,-65,16,2839,2853,2846,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.8927417,11704979,8951779,9429190,119,617,760,82,-92,27,2839,2853,2846,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.8927417,11700611,8944811,9430494,300,600,717,82,-92,27,2839,2853,2846,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.8927417,11693051,8940173,9433996,416,585,733,41,-37,34,2839,2853,2846,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932478.8927417,11696191,8943277,9441380,391,681,691,41,-37,34,2839,2853,2846,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.106675,11701283,8947108,9444069,305,696,784,-8,50,67,2839,2853,2846,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.106675,11704448,8949189,9444833,250,700,845,-8,50,67,2839,2853,2846,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.106675,11704219,8949486,9445569,277,660,830,4,-64,7,2839,2853,2846,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.106675,11702035,8949476,9447736,228,587,715,4,-64,7,2839,2853,2846,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.106675,11704048,8949949,9450614,391,681,691,26,-8,-24,2839,2853,2846,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.2951334,11717929,8948615,9457450,255,538,846,26,-8,-24,2839,2853,2846,,,,,,buffering 40/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.2951334,11723253,8947907,9458815,436,610,921,57,-37,7,2839,2853,2846,,,,,,buffering 40/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932479.2951334,11728140,8948226,9459714,374,666,864,57,-37,7,2839,2853,2846,,,,,,buffering 40/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
